,u,i,ts,idx
0,5,51,0,0
1,5,72,0,1
2,5,74,0,2
3,6,63,0,3
4,6,115,0,4
5,6,126,0,5
6,6,136,0,6
7,7,32,0,7
8,9,13,0,8
9,9,20,0,9
10,9,48,0,10
11,9,91,0,11
12,9,152,0,12
13,12,34,0,13
14,13,9,0,14
15,13,91,0,15
16,14,90,0,16
17,16,47,0,17
18,16,93,0,18
19,16,118,0,19
20,20,9,0,20
21,21,133,0,21
22,23,95,0,22
23,23,161,0,23
24,25,108,0,24
25,27,34,0,25
26,27,37,0,26
27,27,63,0,27
28,27,74,0,28
29,28,183,0,29
30,29,50,0,30
31,29,171,0,31
32,31,95,0,32
33,32,7,0,33
34,32,77,0,34
35,32,86,0,35
36,33,161,0,36
37,34,12,0,37
38,34,27,0,38
39,34,38,0,39
40,34,63,0,40
41,34,73,0,41
42,34,82,0,42
43,34,107,0,43
44,34,133,0,44
45,34,146,0,45
46,34,167,0,46
47,35,44,0,47
48,37,27,0,48
49,37,74,0,49
50,38,34,0,50
51,39,116,0,51
52,39,126,0,52
53,40,121,0,53
54,41,90,0,54
55,44,35,0,55
56,47,16,0,56
57,47,126,0,57
58,48,9,0,58
59,49,107,0,59
60,50,29,0,60
61,50,115,0,61
62,50,172,0,62
63,51,5,0,63
64,51,73,0,64
65,51,74,0,65
66,51,82,0,66
67,51,94,0,67
68,53,133,0,68
69,57,74,0,69
70,61,126,0,70
71,62,126,0,71
72,63,6,0,72
73,63,27,0,73
74,63,34,0,74
75,63,73,0,75
76,63,82,0,76
77,63,107,0,77
78,63,146,0,78
79,64,133,0,79
80,69,74,0,80
81,72,5,0,81
82,73,34,0,82
83,73,51,0,83
84,73,63,0,84
85,73,74,0,85
86,73,146,0,86
87,73,158,0,87
88,73,161,0,88
89,74,5,0,89
90,74,27,0,90
91,74,37,0,91
92,74,51,0,92
93,74,57,0,93
94,74,69,0,94
95,74,73,0,95
96,74,82,0,96
97,74,94,0,97
98,74,107,0,98
99,74,128,0,99
100,74,147,0,100
101,74,161,0,101
102,77,32,0,102
103,78,82,0,103
104,78,159,0,104
105,82,34,0,105
106,82,51,0,106
107,82,63,0,107
108,82,74,0,108
109,82,78,0,109
110,82,84,0,110
111,84,82,0,111
112,85,133,0,112
113,86,32,0,113
114,89,126,0,114
115,90,14,0,115
116,90,41,0,116
117,90,130,0,117
118,91,9,0,118
119,91,13,0,119
120,93,16,0,120
121,93,126,0,121
122,94,51,0,122
123,94,74,0,123
124,95,23,0,124
125,95,31,0,125
126,95,98,0,126
127,95,100,0,127
128,95,124,0,128
129,95,151,0,129
130,95,170,0,130
131,98,95,0,131
132,98,103,0,132
133,98,124,0,133
134,99,136,0,134
135,100,95,0,135
136,102,126,0,136
137,103,98,0,137
138,103,124,0,138
139,107,34,0,139
140,107,49,0,140
141,107,63,0,141
142,107,74,0,142
143,107,153,0,143
144,108,25,0,144
145,108,158,0,145
146,110,155,0,146
147,115,6,0,147
148,115,50,0,148
149,115,171,0,149
150,115,174,0,150
151,116,39,0,151
152,116,159,0,152
153,118,16,0,153
154,118,126,0,154
155,120,126,0,155
156,121,40,0,156
157,124,95,0,157
158,124,98,0,158
159,124,103,0,159
160,125,133,0,160
161,126,6,0,161
162,126,39,0,162
163,126,47,0,163
164,126,61,0,164
165,126,62,0,165
166,126,89,0,166
167,126,93,0,167
168,126,102,0,168
169,126,118,0,169
170,126,120,0,170
171,126,132,0,171
172,126,134,0,172
173,126,136,0,173
174,126,176,0,174
175,128,74,0,175
176,130,90,0,176
177,132,126,0,177
178,132,136,0,178
179,132,176,0,179
180,133,21,0,180
181,133,34,0,181
182,133,53,0,182
183,133,64,0,183
184,133,85,0,184
185,133,125,0,185
186,133,146,0,186
187,133,149,0,187
188,134,126,0,188
189,136,6,0,189
190,136,99,0,190
191,136,126,0,191
192,136,132,0,192
193,146,34,0,193
194,146,63,0,194
195,146,73,0,195
196,146,133,0,196
197,147,74,0,197
198,147,153,0,198
199,149,133,0,199
200,151,95,0,200
201,151,161,0,201
202,151,177,0,202
203,152,9,0,203
204,153,107,0,204
